variable,appears_in,type,unit,values,description
participant_code,all,id,,e.g. P-001,Pseudonymous participant code; the primary analysis key.
student_id,all,id,,UUID,Opaque participant id; stable join key across every sheet.
user_id,"sessions,level_progress,raw_events",id,,UUID,Owning mentor/account id.
session_id,"sessions,trials,raw_events",id,,,Play-session id; join raw_events/trials to sessions on this.
event_id,raw_events,id,,UUID,Unique id of the recorded event row.
profile_note,"participants,summary",string,,completer | partial | dropout,DUMMY-DATA ONLY: synthetic play pattern; not a real app field.
gender,all,string,,M | F | Other,Participant gender as entered.
date_of_birth,"participants,sessions,level_progress,raw_events",date,,YYYY-MM-DD,Participant date of birth.
age_years,"participants,summary,trials,dose",int,years,,Whole years at export date (derived).
age_band,"participants,summary,trials,dose",string,,under 8 | 8-10 | 11-12 | 13-15 | 16+,Coarse age band (derived).
autism_level,all,string,,Level 1 | Level 2 | Level 3,DSM-5 autism support level as entered.
iq_score,all,int,,,IQ score as entered (no instrument/date recorded).
iq_band,"participants,summary,trials,dose",string,,<70 | 70-84 | 85-99 | 100+,Coarse IQ band (derived).
Skill Score,"summary,trials(basis)",float,0-100,,"0-100 chance-corrected first-attempt accuracy: score = 100*max(0,(p-c)/(1-c)), where p = proportion correct on the FIRST attempt and c = the guessing baseline (1/options; 0 for turn-taking/initiation tasks). 0 = chance, 100 = ceiling. Computed per game, then averaged into a skill."
composite_score,summary,float,0-100,,"Social-Emotional composite = equal-weighted mean of the child's available skill scores (emotion, turntaking, jointattention). Social Norms is deliberately excluded."
composite_delta,summary,float,0-100 pts,,Mean of the skill deltas = within-app FIRST->LAST session change. NOT the study's pre/post battery outcome; do not use as the efficacy endpoint.
emotion_pre,summary,float,0-100,,"Emotional Identification (games: emotionrecognition, identifyemotions + 360 copies). Skill score in the FIRST session of each game, averaged across the skill's games. Blank = skill never played."
emotion_post,summary,float,0-100,,"Emotional Identification (games: emotionrecognition, identifyemotions + 360 copies). Skill score in the MOST RECENT session, averaged across the skill's games."
emotion_delta,summary,float,0-100 pts,,"Emotional Identification (games: emotionrecognition, identifyemotions + 360 copies). post - pre (within-app improvement)."
turntaking_pre,summary,float,0-100,,"Turn-Taking (games: blocks, rollback + playroom360, football360). Skill score in the FIRST session of each game, averaged across the skill's games. Blank = skill never played."
turntaking_post,summary,float,0-100,,"Turn-Taking (games: blocks, rollback + playroom360, football360). Skill score in the MOST RECENT session, averaged across the skill's games."
turntaking_delta,summary,float,0-100 pts,,"Turn-Taking (games: blocks, rollback + playroom360, football360). post - pre (within-app improvement)."
jointattention_pre,summary,float,0-100,,"Joint Attention (games: museum, discovery + museum360, park360). Skill score in the FIRST session of each game, averaged across the skill's games. Blank = skill never played."
jointattention_post,summary,float,0-100,,"Joint Attention (games: museum, discovery + museum360, park360). Skill score in the MOST RECENT session, averaged across the skill's games."
jointattention_delta,summary,float,0-100 pts,,"Joint Attention (games: museum, discovery + museum360, park360). post - pre (within-app improvement)."
total_sessions,summary,int,count,,Distinct play sessions the child completed.
total_scored_trials,summary,int,count,,Total scored trials across all games.
total_minutes,"summary,dose",float,minutes,,Summed play time (ended-started) over the child's sessions (summary) or one game (dose).
active_days,summary,int,days,,Calendar days from the child's first to last session.
n_games_played,summary,int,count,,Distinct games the child touched.
n_skills_covered,summary,int,count,0-3,Distinct scored skills touched (max 3; Social Norms excluded).
has_post_battery,summary,bool01,,1 | 0,1 if any post-timepoint battery score exists (dropouts = 0).
eit_pre,summary,float,score,,"EIT pre (baseline) raw score. Emotion Identification Test (forced choice, 3 options, max 30). Higher = better."
eit_post,summary,float,score,,EIT post raw score.
eit_gain,summary,float,pts,,EIT gain = post - pre.
top_pre,summary,float,score,,TOP pre (baseline) raw score. Turn-taking Observation Protocol (max 21). Higher = better.
top_post,summary,float,score,,TOP post raw score.
top_gain,summary,float,pts,,TOP gain = post - pre.
jap_pre,summary,float,score,,JAP pre (baseline) raw score. Joint Attention Probe (max 16). Higher = better.
jap_post,summary,float,score,,JAP post raw score.
jap_gain,summary,float,pts,,JAP gain = post - pre.
nct_pre,summary,float,score,,"NCT pre (baseline) raw score. Non-social Control Task (forced choice, 4 options, max 12). DISCRIMINANT CONTROL - should NOT improve pre->post."
nct_post,summary,float,score,,NCT post raw score.
nct_gain,summary,float,pts,,NCT gain = post - pre.
vsms_pre,summary,float,score,,VSMS pre (baseline) raw score. Vineland Social Maturity Scale social quotient (distal). Higher = better.
vsms_post,summary,float,score,,VSMS post raw score.
vsms_gain,summary,float,pts,,VSMS gain = post - pre.
atec_pre,summary,float,score,,"ATEC pre (baseline) raw score. Autism Treatment Evaluation Checklist total (distal). LOWER = better, so a NEGATIVE gain is improvement."
atec_post,summary,float,score,,ATEC post raw score.
atec_gain,summary,float,pts,,ATEC gain = post - pre.
timepoint,battery,string,,pre | post | followup,Assessment wave (T0 / T1 / T2).
instrument,battery,string,,EIT | TOP | JAP | NCT | VSMS | ATEC,Outcome instrument (entered by the blinded tester).
form,battery,string,,A | B,Parallel test form.
raw_score,battery,float,score,,Raw score entered by the blinded tester.
n_options,battery,int,count,,"Forced-choice options, so chance = 1/n is recoverable; blank if not forced-choice."
max_score,battery,float,score,,Maximum possible raw score; blank if open-ended.
rater_id,battery,string,,R1 | R2 | ...,Blinded rater id; R2 rows are second codings for inter-rater reliability.
is_double_coded,battery,bool,,true | false,Whether this row is a second blinded coding of the same probe.
assessed_on,battery,date,,YYYY-MM-DD,Assessment date.
notes,battery,string,,,Free-text tester note.
skill,"trials,dose",string,,emotion | turntaking | jointattention | socialnorms,Skill the game trains. socialnorms games exist but do NOT feed the composite.
game_key,all,string,,,"Game identifier (e.g. emotionrecognition, museum360)."
xr_presenting,trials,bool01,,1 = VR | 0 = flat,Whether the trial was played in immersive VR (carries head-scan telemetry).
trial_in_game,trials,int,count,,1-based trial index within the game (oldest first).
trial_in_session,trials,int,count,,1-based trial index within its session.
first_attempt_correct,trials,bool01,,1 | 0,The SCORED outcome: correct on the first attempt (retries never count).
chance,"trials,raw_events",float,0-1,,Guessing baseline c for the trial (1/options; 0 for no-guess tasks).
